Name,Scientific Name,Occurrence,Allergen Name,Alternative Allergen Name,Allergen Designation,Protein Family,Sequence Known,Allergen Stability,Nature,Properties,Purification
Cocoa,Theobroma cacao,,,,,,,,,,
Cocoa,Theobroma cacao,,,,,,,,,,
Peanut; ground nuts; monkey nuts,Arachis hypogea,,,,,,,,,,
Peanut; ground nuts; monkey nuts,Arachis hypogea,,,,,,,,,,
Peanut; ground nuts; monkey nuts,Arachis hypogea,,Agglutinin,,Minor,Legume lectin family with two domains: PFAM PfamPF00138andPF00139,Yes,,None described,,"Crude peanut extract was prepared by extracting roasted, defatted peanut meal with 1M NaCl, 20mM sodium phosphate buffer pH 7.0 containing 8M urea, for 4h at 4C. After clarification by centrifugation at 20,000xg for 60 min at 4C, the supernatant was dialysed into 20mM bis-tris propane (pH 7.2) . Protein was loaded onto an anion exchange MonoQ column and the agglutinin eluted with a 0-1.5M NaCl gradient at 15% NaCl."
Peanut; ground nuts; monkey nuts,Arachis hypogea,,Ara h 1,,Major,"7S Cupin, PfamPF00190",Yes,,"As a consequence of the homologies between the 7S globulins of legumes, around 80% of anti-Ara h 1 antibodies bind to the 7S globulin of soya, beta-conglycinin (Eigenmann et al. 1996 [48]).",,"A number of different approaches have been taken to purification, two of which are given below:1. Extract defatted peanut meal with 50mM Tris-HCl, pH 8.2, containing 0.2M NaCl (1:10, w:v) and purified by gel filtration on a Superose 6 HR10/30 column attached to a FPLC system. (Mills et al 1997 [645]) or affinity purification on Con-A Sepharose (Rigby et al. unpublished).2. Extract defatted roasted (163-177C) peanut meal with 8M urea, 1MNaCl in 20mM sodium phosphate, pH7.0. Following dialysis into 20mM Tris-bis-propane (pH7.2) containing 8M urea, the sample was fractionated on a MonoQ10/10 column attached to a FPLC system and eluted with a 0-1.5M NaCl gradient. (Burks et al 1991 [32]). Whilst pure, the resulting protein has lost its quaternary structure"
Peanut; ground nuts; monkey nuts,Arachis hypogea,,Ara h 2,,Major,PF00234; tryp_alpha_amyl,Yes,,"Two other peanut allergens, Ara h 6 and 7, have been identified which are homologous with Ara h 2. Whilst Ara h 2 is considered to be a major allergen, Ara h 6 and 7 are considered to be minor, being recognised by 38% and 43% of peanut allergic sera respectively (Kleber -Janke et al 1999 [89]). These may show some IgE cross-reactivity but this has not been shown. IgE cross-reactivity with other species has not been described.",,"Sen et al (2002) [629] report a purification from peanut seeds, which were ground in liquid nitrogen and then defatted. The peanut flour was extracted with tris saline buffer (65 mMTris-HCl, 1 mM EDTA, 1 mM PMSF, 200 mM NaCl, pH 8.3), filtered and centrifuged. The supernatant was fractionated using ammonium sulfate precipitation between 40% and 70% ammonium sulfate saturation followed by chromatography on a High Q anion exchange column (Bio-Rad, Hercules, CA). After washing the column with buffer containing 40 mM NaCl, bound proteins were eluted using a linear salt gradient (40\Z140 mM NaCl). Pooled fractions enriched with Ara h 2 were dialyzed overnight at 4Â°C against 25 mM Tris-HCl (pH 7.4) and 3 M NaCl and loaded onto a phenyl-Sepharose column (Amersham Pharmacia Biotech, Piscataway, NJ) equilibrated in the same buffer. Bound proteins were eluted using a linear decreasing salt gradient (3 to 0 M NaCl). Ara h 2-containing fractions were pooled and dialyzed overnight at room temperature against 15 mM ammonium bicarbonate (adjusted to pH 7.0 by bubbling carbon dioxide), and 2-mg aliquots were lyophilized and stored at -70Â°C until neededRecombinant Ara h 2 has been expressed in E. coli by Lehmann et al. (2003) [611] and purified. The recombinant Ara h 2 was identical to wild-type by immunoblotting, analytical HPLC and circular dichromism suggesting that natural and recombinant Ara h 2 have the same disulphide structure."
Peanut; ground nuts; monkey nuts,Arachis hypogea,,Ara h 3 and Ara h 4,,Minor,PfamPF00190; Cupin 11S,Yes,,Soya glycinin is 62% identical and IgE cross-reactivity is observedPea legumin is 72% identical and cross-reactivity might be expected.,,"Ground peanut was extracted with 20 mM Tris buffer (pH 7.2). After 2 h stirring at room temperature, the aqueous fraction was collected by centrifugation. The peanut protein extract was applied on a 300 ml Source Q column (FPLC/AKTA protein purification system, Pharmacia, Uppsala, Sweden) previously equilibrated with 20 mM MOPS of pH 7.2 (loading buffer) at room temperature. The column was washed with loading buffer until the A280of the effluent was less than 0.02. Proteins were eluted using a linear sodium chloride gradient in loading buffer (up to 1M in 4000ml at a flow rate of 100ml/min). Koppelman et al. (2003) [992]."
Peanut; ground nuts; monkey nuts,Arachis hypogea,,Ara h 5,,Minor,PfamPF00235; profilin,Yes,,IgE to peanut profilin cross-reacted with cherry profilin (Pru a 4) and less strongly with celery and pear profilins. The Ara h 5 sequence shows 83% identity with soybean Gly m 3.,,"Recombinant peanut profilin was purified from E. coli using a poly-L-proline Sepharose column (Kleber-Janke et al., 2001 [638])"
Peanut; ground nuts; monkey nuts,Arachis hypogea,,Ara h 6,,Minor,PFAMPF00234; tryp_alpha_amyl,Yes,,"Ara h 2, Ara h 6 and Ara h 7 are homologous. Ara h 6 is approximately 60% identical to Ara h 2 and is thus treated as a different allergen rather than as an iso-allergen. However, there may be some IgE cross-reactivity.",,"Lehmann et al. (2004) [947] report that recombinant Ara h 6 was purified following the method of Lehmann et al. (2003) [611] which reported the purification of recombinant Ara h 2. This was identical to wild-type by immunoblotting, analytical HPLC and circular dichromism suggesting that natural and recombinant Ara h 2 have the same disulphide structure."
Peanut; ground nuts; monkey nuts,Arachis hypogea,,Ara h 7,,Minor,PFAMPF00234; tryp_alpha_amyl,Yes,,Ara h 2 and Ara h 6 are 40-50% identical to Ara h 7 over 80% of the sequence. It is not clear if there is significant IgE cross-reactivity.,,Not reported
Peanut; ground nuts; monkey nuts,Arachis hypogea,,Ara h 8,,None,"Bet v 1 family, PfamPF00407",Yes,,IgE cross-reactivity to Bet v 1 was demonstrated by inhibition of immunoblotting in the 3 sera tested. Sequence alignment revealed an amino acid sequence identity of 45.9% with Bet v 1 and 70.6% with Gly m 4.,,"Mittag et al. (2004) [1114] expressed Ara h 8 inE coli. The recombinant protein was purified by chromatofocusing and size exclusion chromatography. Purification from 6 L of cultured bacteria yielded 1 mg of purified recombinant protein. The CD spectrum of rAra h 8 was similar to recombinant Gly m 4 and Bet v 1, suggesting that rAra h 8 had a similar secondary structure."
Peanut; ground nuts; monkey nuts,Arachis hypogea,,Oleosin,,Minor,Oleosins (PFAM PF01277),Yes,,None known,,"The 17 kDa oleosin was purified from classically extracted crude oil body proteins by two preparative SDS-PAGEs (Pons et al., 2002 [628]). Two oleosins were purified with 16 and 17 kDa experimental masses."
Buckwheat,Fagopyrum esculentum,,,,,,,,,,
Buckwheat,Fagopyrum esculentum,,,,,,,,,,
Buckwheat,Fagopyrum esculentum,,14 kDa allergen,,None,Not known,N-terminal peptide.,,Not known.,,Yoshimasu et al. (2000) [244] reported a purification of the 14 kDa allergen by reverse phase chromatography using a Source 15RPC ST 6.6/100 column (Amersham Pharmacia Biotech) equilibrated with 0.1% (v/v) trifluoroacetic acid. Samples were eluted with 0.1% (v/v) trifluoroacetic acid in 70% (v/v) acetonitrile.
